"","weather","risk","treatment","outcome"
"4075","normal","low","treated","not-burned"
"4076","normal","low","treated","not-burned"
"4077","wet","low","treated","not-burned"
"4078","normal","high","treated","not-burned"
"4079","dry","low","untreated","not-burned"
"4080","normal","high","treated","not-burned"
"4081","wet","low","untreated","not-burned"
"4082","normal","low","untreated","not-burned"
"4083","normal","high","treated","not-burned"
"4084","dry","low","treated","burned"
"4085","normal","low","untreated","not-burned"
"4086","normal","high","treated","not-burned"
"4087","normal","low","untreated","not-burned"
"4088","wet","low","treated","not-burned"
"4089","normal","low","treated","not-burned"
"4090","dry","high","treated","not-burned"
"4091","wet","low","treated","not-burned"
"4092","normal","low","untreated","not-burned"
"4093","normal","low","untreated","not-burned"
"4094","normal","low","treated","not-burned"
"4095","wet","low","untreated","not-burned"
"4096","dry","low","untreated","burned"
"4097","normal","low","untreated","not-burned"
"4098","dry","high","treated","not-burned"
"4099","dry","low","untreated","not-burned"
"4100","normal","low","untreated","not-burned"
"4101","normal","high","treated","not-burned"
"4102","dry","high","untreated","not-burned"
"4103","wet","low","untreated","not-burned"
"4104","normal","low","untreated","not-burned"
"4105","normal","high","treated","not-burned"
"4106","normal","high","treated","not-burned"
"4107","normal","high","treated","not-burned"
"4108","dry","low","treated","not-burned"
"4109","wet","low","untreated","not-burned"
"4110","normal","low","untreated","not-burned"
"4111","normal","low","treated","not-burned"
"4112","normal","low","treated","not-burned"
"4113","normal","low","untreated","not-burned"
"4114","normal","high","treated","burned"
"4115","wet","low","untreated","not-burned"
"4116","normal","low","untreated","not-burned"
"4117","normal","low","treated","not-burned"
"4118","normal","low","treated","not-burned"
"4119","wet","low","treated","not-burned"
"4120","normal","low","untreated","not-burned"
"4121","dry","high","untreated","burned"
"4122","normal","high","treated","not-burned"
"4123","dry","low","treated","not-burned"
"4124","dry","high","treated","not-burned"
"4125","wet","low","treated","not-burned"
"4126","dry","high","treated","not-burned"
"4127","dry","low","untreated","burned"
"4128","dry","low","treated","burned"
"4129","normal","high","treated","not-burned"
"4130","normal","low","treated","not-burned"
"4131","normal","high","untreated","not-burned"
"4132","dry","high","treated","not-burned"
"4133","wet","low","treated","not-burned"
"4134","normal","low","treated","not-burned"
"4135","normal","high","treated","not-burned"
"4136","normal","low","untreated","not-burned"
"4137","dry","low","treated","not-burned"
"4138","dry","high","untreated","not-burned"
"4139","normal","high","treated","burned"
"4140","wet","low","untreated","not-burned"
"4141","normal","low","untreated","not-burned"
"4142","normal","high","treated","not-burned"
"4143","dry","low","untreated","not-burned"
"4144","normal","low","treated","not-burned"
"4145","normal","high","treated","not-burned"
"4146","normal","low","treated","not-burned"
"4147","wet","high","treated","not-burned"
"4148","normal","low","treated","not-burned"
"4149","dry","high","treated","not-burned"
"4150","wet","low","treated","not-burned"
"4151","dry","low","treated","not-burned"
"4152","normal","low","untreated","not-burned"
"4153","normal","low","treated","not-burned"
"4154","wet","low","untreated","not-burned"
"4155","normal","low","untreated","not-burned"
"4156","normal","high","untreated","burned"
"4157","normal","low","treated","not-burned"
"4158","wet","high","treated","burned"
"4159","normal","low","treated","not-burned"
"4160","normal","low","treated","not-burned"
"4161","normal","low","treated","not-burned"
"4162","wet","low","untreated","not-burned"
"4163","wet","high","untreated","not-burned"
"4164","wet","low","treated","not-burned"
"4165","normal","high","treated","burned"
"4166","dry","low","treated","not-burned"
"4167","wet","low","untreated","not-burned"
"4168","normal","low","untreated","not-burned"
"4169","normal","high","untreated","not-burned"
"4170","normal","high","treated","not-burned"
"4171","normal","high","treated","not-burned"
"4172","normal","low","treated","not-burned"
"4173","normal","low","untreated","not-burned"
"4174","dry","high","treated","not-burned"
"4175","normal","high","treated","not-burned"
"4176","normal","low","treated","not-burned"
"4177","wet","low","untreated","not-burned"
"4178","normal","low","treated","not-burned"
"4179","dry","low","treated","burned"
"4180","wet","low","untreated","not-burned"
"4181","normal","low","untreated","not-burned"
"4182","wet","low","untreated","not-burned"
"4183","dry","high","treated","not-burned"
"4184","normal","low","treated","not-burned"
"4185","dry","high","untreated","burned"
"4186","dry","high","treated","burned"
"4187","normal","high","treated","burned"
"4188","normal","low","treated","not-burned"
"4189","wet","low","treated","not-burned"
"4190","normal","low","treated","not-burned"
"4191","wet","low","treated","not-burned"
"4192","wet","low","untreated","not-burned"
"4193","wet","low","untreated","not-burned"
"4194","normal","low","treated","not-burned"
"4195","dry","low","treated","burned"
"4196","normal","low","untreated","not-burned"
"4197","dry","low","treated","burned"
"4198","normal","low","untreated","not-burned"
"4199","wet","low","untreated","not-burned"
"4200","wet","low","untreated","not-burned"
"4201","wet","low","treated","not-burned"
"4202","dry","low","treated","burned"
"4203","dry","high","treated","not-burned"
"4204","wet","low","untreated","not-burned"
"4205","dry","low","treated","not-burned"
"4206","wet","low","untreated","not-burned"
"4207","wet","low","treated","not-burned"
"4208","normal","high","untreated","not-burned"
"4209","dry","low","treated","not-burned"
"4210","wet","low","untreated","not-burned"
"4211","normal","low","treated","not-burned"
"4212","normal","low","treated","not-burned"
"4213","wet","low","untreated","not-burned"
"4214","dry","high","treated","not-burned"
"4215","dry","low","untreated","not-burned"
"4216","normal","low","untreated","not-burned"
"4217","normal","high","treated","not-burned"
"4218","dry","high","untreated","burned"
"4219","wet","low","untreated","not-burned"
"4220","wet","low","untreated","not-burned"
"4221","normal","high","treated","not-burned"
"4222","dry","high","treated","not-burned"
"4223","dry","high","treated","burned"
"4224","normal","low","treated","not-burned"
"4225","normal","high","treated","not-burned"
"4226","normal","high","treated","not-burned"
"4227","wet","high","treated","not-burned"
"4228","wet","low","untreated","not-burned"
"4229","dry","low","treated","burned"
"4230","wet","low","treated","not-burned"
"4231","normal","low","treated","not-burned"
"4232","normal","high","treated","not-burned"
"4233","normal","high","treated","not-burned"
"4234","normal","low","untreated","not-burned"
"4235","dry","low","treated","burned"
"4236","wet","low","treated","not-burned"
"4237","normal","low","treated","not-burned"
"4238","normal","high","untreated","not-burned"
"4239","normal","low","untreated","not-burned"
"4240","wet","low","treated","not-burned"
"4241","normal","low","untreated","not-burned"
"4242","normal","high","treated","burned"
"4243","normal","low","untreated","not-burned"
"4244","dry","low","untreated","not-burned"
"4245","wet","low","untreated","not-burned"
"4246","normal","high","treated","not-burned"
"4247","dry","high","treated","not-burned"
"4248","normal","high","treated","not-burned"
"4249","normal","low","treated","not-burned"
"4250","wet","low","untreated","not-burned"
"4251","wet","high","treated","not-burned"
"4252","wet","low","treated","not-burned"
"4253","normal","low","untreated","not-burned"
"4254","dry","low","treated","burned"
"4255","dry","high","treated","burned"
"4256","normal","low","untreated","not-burned"
"4257","wet","high","treated","not-burned"
"4258","dry","low","untreated","burned"
"4259","normal","low","treated","not-burned"
"4260","dry","low","treated","burned"
"4261","wet","low","treated","not-burned"
"4262","dry","low","untreated","not-burned"
"4263","dry","low","treated","not-burned"
"4264","wet","low","treated","not-burned"
"4265","wet","low","untreated","not-burned"
"4266","wet","low","untreated","not-burned"
"4267","wet","low","treated","not-burned"
"4268","normal","low","treated","not-burned"
"4269","dry","low","untreated","not-burned"
"4270","wet","low","untreated","not-burned"
"4271","normal","low","untreated","not-burned"
"4272","wet","low","untreated","not-burned"
"4273","normal","low","treated","not-burned"
"4274","normal","high","treated","not-burned"
"4275","normal","low","untreated","not-burned"
"4276","normal","high","treated","not-burned"
"4277","normal","low","treated","not-burned"
"4278","dry","low","untreated","not-burned"
"4279","normal","low","untreated","not-burned"
"4280","normal","low","untreated","not-burned"
"4281","normal","low","untreated","not-burned"
"4282","normal","low","untreated","not-burned"
"4283","wet","low","untreated","not-burned"
"4284","dry","low","treated","not-burned"
"4285","dry","high","treated","not-burned"
"4286","normal","low","untreated","not-burned"
"4287","normal","high","treated","not-burned"
"4288","normal","high","treated","not-burned"
"4289","wet","low","treated","not-burned"
"4290","wet","high","treated","not-burned"
"4291","normal","low","treated","not-burned"
"4292","wet","low","treated","not-burned"
"4293","normal","low","treated","not-burned"
"4294","normal","low","treated","not-burned"
"4295","normal","low","untreated","not-burned"
"4296","dry","high","treated","not-burned"
"4297","wet","low","treated","not-burned"
"4298","dry","low","treated","burned"
"4299","dry","low","untreated","not-burned"
"4300","dry","high","untreated","not-burned"
"4301","normal","low","untreated","not-burned"
"4302","normal","low","untreated","not-burned"
"4303","normal","low","untreated","not-burned"
"4304","normal","low","untreated","not-burned"
"4305","wet","low","untreated","not-burned"
"4306","normal","low","untreated","not-burned"
"4307","normal","low","treated","not-burned"
"4308","wet","low","untreated","not-burned"
"4309","dry","low","treated","not-burned"
"4310","dry","low","untreated","not-burned"
"4311","normal","high","treated","not-burned"
"4312","wet","low","untreated","not-burned"
"4313","dry","low","untreated","burned"
"4314","wet","low","untreated","not-burned"
"4315","wet","low","untreated","not-burned"
"4316","normal","low","untreated","not-burned"
"4317","normal","low","untreated","not-burned"
"4318","normal","low","untreated","not-burned"
"4319","normal","low","treated","not-burned"
"4320","wet","low","untreated","not-burned"
"4321","wet","low","treated","not-burned"
"4322","wet","low","treated","not-burned"
"4323","wet","low","treated","not-burned"
"4324","wet","low","treated","not-burned"
"4325","wet","low","treated","not-burned"
"4326","normal","low","treated","not-burned"
"4327","dry","high","treated","burned"
"4328","wet","low","untreated","not-burned"
"4329","wet","low","untreated","not-burned"
"4330","wet","low","treated","not-burned"
"4331","dry","low","untreated","not-burned"
"4332","normal","low","untreated","not-burned"
"4333","normal","low","untreated","not-burned"
"4334","dry","low","treated","not-burned"
"4335","normal","high","untreated","not-burned"
"4336","dry","low","untreated","burned"
"4337","normal","low","treated","not-burned"
"4338","normal","low","untreated","not-burned"
"4339","dry","high","untreated","not-burned"
"4340","wet","low","treated","not-burned"
"4341","wet","low","treated","not-burned"
"4342","normal","low","treated","not-burned"
"4343","wet","low","treated","not-burned"
"4344","dry","high","treated","not-burned"
"4345","wet","low","untreated","not-burned"
"4346","normal","low","untreated","not-burned"
"4347","normal","high","treated","not-burned"
"4348","wet","low","untreated","not-burned"
"4349","normal","low","untreated","not-burned"
"4350","normal","low","untreated","not-burned"
"4351","normal","low","treated","not-burned"
"4352","wet","low","untreated","not-burned"
"4353","wet","high","treated","not-burned"
"4354","wet","low","untreated","not-burned"
"4355","normal","low","untreated","not-burned"
"4356","wet","low","untreated","not-burned"
"4357","dry","low","untreated","not-burned"
"4358","wet","low","treated","not-burned"
"4359","wet","low","treated","not-burned"
"4360","wet","low","treated","not-burned"
"4361","wet","high","untreated","not-burned"
"4362","dry","low","untreated","not-burned"
"4363","dry","low","treated","not-burned"
"4364","normal","low","treated","not-burned"
"4365","wet","low","untreated","not-burned"
"4366","normal","high","treated","not-burned"
"4367","normal","low","treated","not-burned"
"4368","wet","low","treated","not-burned"
"4369","wet","low","untreated","not-burned"
"4370","wet","low","treated","not-burned"
"4371","normal","low","treated","not-burned"
"4372","wet","low","treated","not-burned"
"4373","wet","low","treated","not-burned"
"4374","normal","low","untreated","not-burned"
"4375","normal","low","untreated","not-burned"
"4376","wet","low","untreated","not-burned"
"4377","normal","low","treated","not-burned"
"4378","normal","low","treated","not-burned"
"4379","normal","low","untreated","not-burned"
"4380","normal","high","treated","not-burned"
"4381","normal","high","treated","not-burned"
"4382","normal","low","untreated","not-burned"
"4383","normal","low","untreated","not-burned"
"4384","normal","low","untreated","not-burned"
"4385","wet","low","untreated","not-burned"
"4386","dry","high","untreated","not-burned"
"4387","normal","high","treated","not-burned"
"4388","normal","low","untreated","not-burned"
"4389","wet","low","treated","not-burned"
"4390","normal","low","treated","not-burned"
"4391","normal","low","untreated","not-burned"
"4392","wet","low","treated","not-burned"
"4393","normal","low","untreated","burned"
"4394","dry","low","untreated","not-burned"
"4395","wet","low","untreated","not-burned"
"4396","normal","low","treated","not-burned"
"4397","normal","low","untreated","not-burned"
"4398","wet","low","treated","not-burned"
"4399","normal","low","untreated","not-burned"
"4400","normal","low","untreated","not-burned"
"4401","normal","low","untreated","not-burned"
"4402","normal","low","untreated","not-burned"
"4403","wet","low","untreated","not-burned"
"4404","normal","low","treated","not-burned"
"4405","normal","low","untreated","not-burned"
"4406","normal","high","treated","not-burned"
"4407","normal","low","treated","not-burned"
"4408","normal","high","treated","not-burned"
"4409","normal","low","untreated","not-burned"
"4410","dry","low","untreated","burned"
"4411","normal","low","treated","not-burned"
"4412","wet","low","untreated","not-burned"
"4413","wet","high","untreated","not-burned"
"4414","normal","low","untreated","not-burned"
"4415","normal","low","treated","not-burned"
"4416","normal","high","untreated","burned"
"4417","normal","low","untreated","not-burned"
"4418","normal","high","treated","not-burned"
"4419","dry","low","untreated","not-burned"
"4420","normal","low","treated","not-burned"
"4421","normal","low","untreated","not-burned"
"4422","dry","low","treated","not-burned"
"4423","wet","low","untreated","not-burned"
"4424","wet","low","treated","not-burned"
"4425","dry","low","treated","burned"
"4426","normal","low","untreated","not-burned"
"4427","dry","low","untreated","burned"
"4428","normal","low","untreated","not-burned"
"4429","normal","high","treated","not-burned"
"4430","wet","low","untreated","not-burned"
"4431","normal","low","treated","not-burned"
"4432","wet","low","untreated","not-burned"
"4433","wet","low","untreated","not-burned"
"4434","normal","low","treated","not-burned"
"4435","normal","low","treated","not-burned"
"4436","normal","low","treated","not-burned"
"4437","normal","high","untreated","not-burned"
"4438","dry","low","untreated","burned"
"4439","wet","low","untreated","not-burned"
"4440","dry","low","untreated","not-burned"
"4441","wet","low","untreated","not-burned"
"4442","normal","low","treated","not-burned"
"4443","dry","high","treated","not-burned"
"4444","dry","low","treated","burned"
"4445","normal","low","treated","not-burned"
"4446","normal","low","treated","not-burned"
"4447","normal","low","untreated","not-burned"
"4448","wet","low","treated","not-burned"
"4449","normal","low","treated","not-burned"
"4450","normal","high","treated","not-burned"
"4451","wet","low","treated","not-burned"
"4452","normal","low","untreated","not-burned"
"4453","normal","low","treated","not-burned"
"4454","wet","low","treated","not-burned"
"4455","wet","low","untreated","not-burned"
"4456","normal","low","treated","not-burned"
"4457","normal","high","untreated","not-burned"
"4458","normal","low","untreated","not-burned"
"4459","normal","high","treated","not-burned"
"4460","normal","low","treated","not-burned"
"4461","normal","low","treated","not-burned"
"4462","wet","low","treated","not-burned"
"4463","dry","low","untreated","burned"
"4464","normal","high","treated","not-burned"
"4465","wet","low","untreated","not-burned"
"4466","dry","low","treated","not-burned"
"4467","wet","low","treated","not-burned"
"4468","wet","low","untreated","not-burned"
"4469","dry","high","untreated","not-burned"
"4470","wet","low","treated","not-burned"
"4471","normal","high","untreated","not-burned"
"4472","wet","low","untreated","not-burned"
"4473","normal","low","untreated","not-burned"
"4474","normal","low","untreated","not-burned"
"4475","dry","low","untreated","not-burned"
"4476","normal","low","treated","not-burned"
"4477","wet","low","untreated","not-burned"
"4478","dry","high","treated","burned"
"4479","wet","low","untreated","not-burned"
"4480","wet","low","untreated","not-burned"
"4481","dry","high","treated","not-burned"
"4482","wet","low","untreated","not-burned"
"4483","dry","low","untreated","burned"
"4484","normal","low","untreated","not-burned"
"4485","normal","low","treated","not-burned"
"4486","normal","low","treated","not-burned"
"4487","normal","low","treated","not-burned"
"4488","normal","high","treated","not-burned"
"4489","normal","low","treated","not-burned"
"4490","normal","high","treated","not-burned"
"4491","dry","low","treated","burned"
"4492","normal","high","untreated","not-burned"
"4493","normal","low","untreated","not-burned"
"4494","normal","high","treated","burned"
"4495","wet","low","treated","not-burned"
"4496","wet","low","untreated","not-burned"
"4497","normal","low","treated","not-burned"
"4498","normal","low","untreated","not-burned"
"4499","wet","low","untreated","not-burned"
"4500","wet","low","untreated","not-burned"
"4501","dry","high","treated","not-burned"
"4502","wet","low","untreated","not-burned"
"4503","normal","high","treated","not-burned"
"4504","normal","low","treated","not-burned"
"4505","normal","high","treated","burned"
"4506","dry","high","treated","not-burned"
"4507","normal","low","untreated","not-burned"
"4508","normal","low","untreated","not-burned"
"4509","wet","low","untreated","not-burned"
"4510","wet","low","untreated","not-burned"
"4511","normal","low","untreated","not-burned"
"4512","normal","high","untreated","not-burned"
"4513","wet","low","treated","not-burned"
"4514","dry","low","untreated","not-burned"
"4515","wet","low","untreated","not-burned"
"4516","wet","low","treated","not-burned"
"4517","normal","high","treated","not-burned"
"4518","normal","low","treated","not-burned"
"4519","dry","high","treated","burned"
"4520","normal","low","untreated","not-burned"
"4521","normal","high","treated","not-burned"
"4522","wet","low","treated","not-burned"
"4523","normal","high","treated","not-burned"
"4524","wet","low","untreated","not-burned"
"4525","normal","low","untreated","not-burned"
"4526","normal","low","untreated","not-burned"
"4527","normal","high","treated","not-burned"
"4528","normal","low","treated","not-burned"
"4529","normal","low","treated","not-burned"
"4530","normal","low","treated","not-burned"
"4531","wet","low","treated","not-burned"
"4532","normal","low","treated","not-burned"
"4533","normal","low","treated","not-burned"
"4534","wet","low","untreated","not-burned"
"4535","normal","low","untreated","not-burned"
"4536","normal","low","untreated","not-burned"
"4537","normal","low","untreated","not-burned"
"4538","normal","high","treated","burned"
"4539","normal","low","untreated","not-burned"
"4540","normal","low","untreated","not-burned"
"4541","wet","low","untreated","not-burned"
"4542","normal","high","treated","not-burned"
"4543","normal","low","untreated","not-burned"
"4544","wet","low","untreated","not-burned"
"4545","wet","low","untreated","not-burned"
"4546","dry","high","untreated","burned"
"4547","dry","high","treated","burned"
"4548","dry","low","untreated","not-burned"
"4549","wet","low","untreated","not-burned"
"4550","normal","high","untreated","not-burned"
"4551","normal","high","treated","not-burned"
"4552","normal","low","untreated","not-burned"
"4553","normal","high","treated","not-burned"
"4554","dry","low","untreated","burned"
"4555","dry","low","treated","not-burned"
"4556","wet","low","untreated","not-burned"
"4557","dry","low","untreated","not-burned"
"4558","normal","low","treated","not-burned"
"4559","normal","low","treated","not-burned"
"4560","wet","low","treated","not-burned"
"4561","dry","low","treated","burned"
"4562","wet","low","untreated","not-burned"
"4563","wet","high","untreated","burned"
"4564","normal","high","untreated","burned"
"4565","dry","low","treated","not-burned"
"4566","wet","low","untreated","not-burned"
"4567","wet","low","untreated","not-burned"
"4568","normal","low","untreated","not-burned"
"4569","normal","high","treated","not-burned"
"4570","normal","low","untreated","not-burned"
"4571","normal","low","untreated","not-burned"
"4572","dry","high","treated","not-burned"
"4573","normal","high","treated","burned"
"4574","wet","low","untreated","not-burned"
"4575","normal","low","untreated","not-burned"
"4576","wet","low","untreated","not-burned"
"4577","wet","low","treated","not-burned"
"4578","wet","low","untreated","not-burned"
"4579","normal","low","treated","not-burned"
"4580","dry","low","untreated","burned"
"4581","dry","low","treated","not-burned"
"4582","normal","low","untreated","not-burned"
"4583","normal","high","treated","not-burned"
"4584","wet","low","untreated","not-burned"
"4585","normal","low","treated","not-burned"
"4586","normal","low","untreated","not-burned"
"4587","wet","low","untreated","not-burned"
"4588","wet","low","untreated","not-burned"
"4589","dry","high","treated","not-burned"
"4590","normal","low","untreated","not-burned"
"4591","normal","low","treated","not-burned"
"4592","wet","high","untreated","not-burned"
"4593","normal","low","treated","not-burned"
"4594","wet","low","untreated","not-burned"
"4595","wet","high","untreated","not-burned"
"4596","normal","low","untreated","not-burned"
"4597","wet","high","treated","not-burned"
"4598","normal","high","treated","not-burned"
"4599","normal","low","treated","not-burned"
"4600","wet","low","treated","not-burned"
"4601","wet","low","untreated","not-burned"
"4602","normal","low","untreated","not-burned"
"4603","wet","high","treated","not-burned"
"4604","wet","low","untreated","not-burned"
"4605","normal","low","treated","not-burned"
"4606","normal","low","untreated","not-burned"
"4607","normal","low","treated","not-burned"
"4608","normal","low","treated","not-burned"
"4609","wet","low","untreated","not-burned"
"4610","wet","high","untreated","not-burned"
"4611","normal","high","treated","not-burned"
"4612","normal","high","treated","not-burned"
"4613","normal","low","treated","not-burned"
"4614","dry","high","untreated","not-burned"
"4615","normal","low","treated","not-burned"
"4616","wet","low","untreated","not-burned"
"4617","wet","low","treated","not-burned"
"4618","dry","high","untreated","burned"
"4619","normal","low","untreated","not-burned"
"4620","wet","low","untreated","not-burned"
"4621","wet","high","treated","not-burned"
"4622","wet","low","treated","not-burned"
"4623","normal","low","treated","not-burned"
"4624","wet","low","treated","not-burned"
"4625","normal","low","treated","not-burned"
"4626","normal","low","treated","not-burned"
"4627","dry","high","treated","not-burned"
"4628","wet","high","treated","not-burned"
"4629","dry","high","treated","not-burned"
"4630","wet","low","treated","not-burned"
"4631","dry","high","treated","not-burned"
"4632","dry","low","treated","not-burned"
"4633","normal","high","treated","not-burned"
"4634","wet","low","untreated","not-burned"
"4635","dry","low","untreated","burned"
"4636","normal","high","untreated","not-burned"
"4637","wet","low","untreated","not-burned"
"4638","dry","high","treated","not-burned"
"4639","dry","high","treated","not-burned"
"4640","dry","low","untreated","burned"
"4641","dry","low","untreated","not-burned"
"4642","dry","low","untreated","burned"
"4643","wet","low","untreated","not-burned"
"4644","wet","low","untreated","not-burned"
"4645","normal","high","treated","burned"
"4646","normal","low","untreated","not-burned"
"4647","wet","high","treated","not-burned"
"4648","normal","low","untreated","not-burned"
"4649","wet","low","untreated","not-burned"
"4650","wet","low","untreated","not-burned"
"4651","normal","low","untreated","not-burned"
"4652","wet","low","treated","not-burned"
"4653","normal","low","untreated","not-burned"
"4654","wet","low","untreated","not-burned"
"4655","wet","low","untreated","not-burned"
"4656","wet","high","treated","not-burned"
"4657","normal","high","treated","not-burned"
"4658","dry","low","untreated","not-burned"
"4659","wet","high","treated","not-burned"
"4660","wet","low","untreated","not-burned"
"4661","normal","high","treated","burned"
"4662","wet","low","treated","not-burned"
"4663","wet","high","treated","burned"
"4664","wet","low","untreated","not-burned"
"4665","normal","high","treated","not-burned"
"4666","dry","low","treated","burned"
"4667","normal","low","treated","not-burned"
"4668","wet","low","untreated","not-burned"
"4669","wet","low","treated","not-burned"
"4670","normal","low","untreated","not-burned"
"4671","dry","low","treated","burned"
"4672","normal","low","treated","not-burned"
"4673","wet","low","untreated","not-burned"
"4674","wet","high","untreated","not-burned"
"4675","normal","high","treated","not-burned"
"4676","normal","high","treated","not-burned"
"4677","wet","low","treated","not-burned"
"4678","wet","low","untreated","not-burned"
"4679","normal","low","treated","not-burned"
"4680","normal","low","treated","not-burned"
"4681","normal","high","untreated","not-burned"
"4682","dry","high","untreated","not-burned"
"4683","normal","low","treated","not-burned"
"4684","wet","low","treated","not-burned"
"4685","dry","low","treated","not-burned"
"4686","normal","low","treated","not-burned"
"4687","wet","low","untreated","not-burned"
"4688","normal","low","treated","not-burned"
"4689","normal","low","untreated","not-burned"
"4690","normal","low","untreated","not-burned"
"4691","dry","low","untreated","not-burned"
"4692","dry","high","treated","not-burned"
"4693","normal","low","treated","not-burned"
"4694","dry","high","treated","burned"
"4695","wet","high","untreated","not-burned"
"4696","wet","low","treated","not-burned"
"4697","wet","low","treated","not-burned"
"4698","wet","low","treated","not-burned"
"4699","normal","low","untreated","not-burned"
"4700","wet","low","untreated","not-burned"
"4701","wet","low","treated","not-burned"
"4702","normal","low","untreated","not-burned"
"4703","normal","low","untreated","not-burned"
"4704","wet","low","treated","not-burned"
"4705","wet","low","untreated","not-burned"
"4706","wet","low","untreated","burned"
"4707","dry","high","treated","not-burned"
"4708","wet","low","treated","not-burned"
"4709","wet","low","untreated","not-burned"
"4710","wet","low","untreated","not-burned"
"4711","normal","high","untreated","burned"
"4712","wet","low","untreated","not-burned"
"4713","dry","low","untreated","burned"
"4714","wet","low","treated","not-burned"
"4715","normal","low","untreated","not-burned"
"4716","normal","low","treated","not-burned"
"4717","wet","low","untreated","not-burned"
"4718","dry","high","treated","not-burned"
"4719","dry","low","untreated","burned"
"4720","dry","low","treated","burned"
"4721","normal","high","untreated","not-burned"
"4722","dry","low","untreated","burned"
"4723","dry","high","treated","not-burned"
"4724","dry","high","treated","not-burned"
"4725","normal","high","untreated","not-burned"
"4726","normal","low","treated","not-burned"
"4727","wet","low","treated","not-burned"
"4728","wet","low","untreated","not-burned"
"4729","wet","low","untreated","not-burned"
"4730","wet","low","untreated","not-burned"
"4731","normal","high","treated","not-burned"
"4732","wet","low","untreated","not-burned"
"4733","wet","low","untreated","not-burned"
"4734","dry","low","treated","not-burned"
"4735","dry","low","untreated","not-burned"
"4736","wet","high","untreated","not-burned"
"4737","normal","low","treated","not-burned"
"4738","normal","high","treated","not-burned"
"4739","normal","low","untreated","not-burned"
"4740","wet","low","treated","not-burned"
"4741","normal","high","treated","burned"
"4742","normal","low","treated","not-burned"
"4743","normal","low","untreated","not-burned"
"4744","normal","low","untreated","not-burned"
"4745","normal","high","treated","not-burned"
"4746","normal","low","untreated","not-burned"
"4747","normal","low","treated","not-burned"
"4748","normal","high","treated","not-burned"
"4749","wet","low","untreated","not-burned"
"4750","wet","low","untreated","not-burned"
"4751","wet","low","treated","not-burned"
"4752","normal","high","treated","burned"
"4753","normal","low","untreated","not-burned"
"4754","dry","high","treated","not-burned"
"4755","dry","low","untreated","not-burned"
"4756","wet","low","treated","not-burned"
"4757","normal","low","treated","not-burned"
"4758","wet","low","untreated","not-burned"
"4759","wet","high","untreated","not-burned"
"4760","normal","low","treated","not-burned"
"4761","normal","low","treated","not-burned"
"4762","wet","low","treated","not-burned"
"4763","normal","high","treated","not-burned"
"4764","wet","low","treated","not-burned"
"4765","normal","low","untreated","not-burned"
"4766","normal","low","treated","not-burned"
"4767","wet","low","untreated","not-burned"
"4768","wet","low","treated","not-burned"
"4769","dry","high","treated","burned"
"4770","normal","high","untreated","not-burned"
"4771","dry","high","treated","not-burned"
"4772","wet","low","untreated","not-burned"
"4773","normal","high","treated","not-burned"
"4774","normal","low","untreated","not-burned"
"4775","normal","high","treated","not-burned"
"4776","normal","high","treated","burned"
"4777","wet","high","treated","not-burned"
"4778","normal","high","treated","not-burned"
"4779","normal","low","untreated","not-burned"
"4780","normal","low","untreated","not-burned"
"4781","dry","high","treated","not-burned"
"4782","normal","high","treated","not-burned"
"4783","dry","high","treated","not-burned"
"4784","normal","low","treated","not-burned"
"4785","wet","low","untreated","not-burned"
"4786","normal","high","treated","burned"
"4787","wet","low","treated","not-burned"
"4788","wet","low","untreated","not-burned"
"4789","wet","low","treated","not-burned"
"4790","normal","high","treated","not-burned"
"4791","dry","high","treated","not-burned"
"4792","normal","low","untreated","not-burned"
"4793","normal","high","treated","burned"
"4794","normal","low","untreated","not-burned"
"4795","dry","high","treated","burned"
"4796","dry","low","treated","burned"
"4797","normal","low","treated","burned"
"4798","wet","low","treated","not-burned"
"4799","normal","low","treated","not-burned"
"4800","wet","low","untreated","not-burned"
"4801","wet","low","untreated","not-burned"
"4802","dry","low","untreated","not-burned"
"4803","dry","low","untreated","burned"
"4804","dry","low","treated","burned"
"4805","wet","high","treated","not-burned"
"4806","dry","high","treated","not-burned"
"4807","normal","low","untreated","not-burned"
"4808","normal","low","untreated","not-burned"
"4809","normal","low","untreated","not-burned"
"4810","normal","low","treated","not-burned"
"4811","normal","low","treated","not-burned"
"4812","wet","low","untreated","not-burned"
"4813","normal","high","treated","burned"
"4814","normal","low","untreated","not-burned"
"4815","normal","low","untreated","not-burned"
"4816","wet","low","untreated","not-burned"
"4817","wet","low","untreated","not-burned"
"4818","normal","low","treated","not-burned"
"4819","dry","high","treated","not-burned"
"4820","dry","low","untreated","not-burned"
"4821","normal","low","untreated","not-burned"
"4822","wet","low","untreated","not-burned"
"4823","wet","low","treated","not-burned"
"4824","wet","low","untreated","not-burned"
"4825","normal","low","untreated","not-burned"
"4826","normal","low","untreated","not-burned"
"4827","normal","low","untreated","not-burned"
"4828","normal","low","untreated","not-burned"
"4829","normal","low","untreated","not-burned"
"4830","wet","low","untreated","not-burned"
"4831","wet","low","untreated","not-burned"
"4832","normal","high","treated","not-burned"
"4833","normal","low","treated","not-burned"
"4834","normal","low","treated","not-burned"
"4835","wet","high","treated","not-burned"
"4836","normal","low","untreated","not-burned"
"4837","normal","high","treated","not-burned"
"4838","normal","high","untreated","not-burned"
"4839","normal","low","untreated","not-burned"
